,Job_Title,Company_Name,Location,similarity
78,Project Engineer,"FORMA Construction Company
5.0","Yelm, WA",0.8875
79,Professional Engineer,D&R Tank Co,"Albuquerque, NM",0.8765432098765432
55,"Services Engineer, IMS","C Spire
4.4","Ridgeland, MS",0.875
74,Engineering Test Technician,"Rice Lake Weighing Systems
3.6","Rice Lake, WI",0.8641975308641975
66,"Professional Engineer - Transportation and Public Works - Oklahoma City, OK","Halff Associates
3.9","Oklahoma City, OK",0.8625
31,Engineering Technician,Harbor Rental and Saw Shop,"Friday Harbor, WA",0.8536585365853658
35,Engineering Technician,Harbor Rental and Saw Shop,"Friday Harbor, WA",0.8536585365853658
41,Submittal Drafting Engineer,"American Millwork & Cabinetry
4.3","Emmaus, PA",0.8433734939759037
28,Tooling Engineer,"Weener Plastics Inc.
4.3","Wilson, NC",0.8414634146341463
94,Web Marketing Engineer,"SignalQuest, LLC
5.0","Lebanon, NH",0.8395061728395061
76,Test and Evaluation Engineer,"LinQuest Corporation
3.9","Colorado Springs, CO",0.8395061728395061
53,Estate Maintenance Engineer,Notre Vue Estate Winery and Vineyards,"Windsor, CA",0.8395061728395061
13,IT Support Engineer for Desktop and Infrastructure,Intermountain Medical Imaging,"Boise, ID",0.8395061728395061
46,Failure Analysis Engineer,"Skyworks
3.4","Newbury Park, CA",0.8313253012048193
62,Content Development Engineer,"Mimaki USA
3.6","Suwanee, GA",0.8313253012048193
57,Senior Project Engineer,"Aqtera Engineering, LLC
5.0","Tri Cities, WA",0.8313253012048193
80,Industrial Refrigeration Mechanical Engineer,Mullally Bros. Inc.,"Troy, NY",0.8313253012048193
64,Reliability Engineer,"AGC Biologics
3.2","Bothell, WA",0.8292682926829268
34,Engineering Associate,B2U Storage Solutions,"Lancaster, CA",0.8292682926829268
56,Code & Certification Engineer,"Kolbe & Kolbe Millwork Co., Inc.
3.6","Wausau, WI",0.825
72,Civil/Site Design Engineer,"A&F Engineering Co., LLC Indianapolis, IN","Indianapolis, IN",0.8214285714285714
50,Licensed Professional Engineer,"Awnex,Inc","Ball Ground, GA",0.8192771084337349
26,High Power Microwave Physicist-Engineer,Verus Research,"Albuquerque, NM",0.8170731707317073
70,Director of Engineering,"Chapin International, Inc
3.3","Batavia, NY",0.8170731707317073
99,Senior Engineer- Aviation,"KLJ
3.6","Rapid City, SD",0.8170731707317073
16,Cost Engineer,Preston Pipelines Inf.,"Milpitas, CA",0.8170731707317073
82,CIMPLICITY/SCADA Development Engineer,"Technotects, Inc.","Harleysville, PA",0.8148148148148148
88,Civil Engineering Team Leader Position,"Klingner & Associates, P.C.","Burlington, IA",0.8148148148148148
37,Plant Engineer,Aurora Energy LLC,"Fairbanks, AK",0.8148148148148148
77,"LDTO Test and Evaluation Engineer, #5059","LinQuest Corporation
3.9","Colorado Springs, CO",0.8125
49,Engineering Technician,CaptiveAire Systems,"Redding, CA",0.8125
19,Engineering Technician,"Rochester Electronics LLC
3.1","Newburyport, MA",0.8125
8,Manufacturing Process Engineer,Jensen Castings,"Richland Center, WI",0.8095238095238095
10,Process Engineer,"Riverdale Mills Corporation
2.8","Northbridge, MA",0.8095238095238095
27,Controls Engineer,"Edscha Automotive
1.0","Auburn Hills, MI",0.8048780487804879
43,Chief Engineer,"TCT Network
2.1","Marion, IL",0.8048780487804879
7,Application Engineer,"Hottinger, Bruel & Kjaer","Southfield, MI",0.8048780487804879
89,Structural Plan Review Engineer,"West Coast Code Consultants, Inc.","Layton, UT",0.8024691358024691
83,Engineer Principal,"South Florida Water Management District
3.3","West Palm Beach, FL",0.8024691358024691
87,Project Engineer / Manager,Kellard Sessions Consulting,"Armonk, NY",0.8024691358024691
