Job_Title,Salary_Estimate,Job_Description,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors
Engineer I/CSS 1,-1,"MAVERICK Technologies is looking for a talented individual to join our team as an Engineer I/CSS I. This is a great opportunity to gain hands-on experience in automation and controls while getting more experiences in a variety of industries/platforms.

Qualifications/Criteria:
Bachelor of Science degree in Engineering is desired
Entry level up to typically three years experience in an Industrial Controls Engineering environment
Typically up to two years experience with Allen-Bradley ControlLogix PAC is needed
Experience with GE Cimplicity SCADA is desired
Technical Responsibilities:
Demonstrates a basic knowledge in process controls including understanding the process, ability to identify the parameters and understand and identify the process variables and hazards.
Capable of understanding P&IDs and instrumentation/control equipment in an industrial environment.
Demonstrates a basic knowledge of the control methods, analog and discrete and the critical components to developing sustainable control algorithms.
Capable of implementing control methodology in DCS, PLC or HMI platforms with a basic understanding of the programming language.
Knowledgeable of control system architecture including hardware, software, instrumentation and networking equipment.
Basic understanding of analog advanced control and batch control.
Demonstrates experience in industrial environment with loop checking, startup, troubleshooting and commissioning support.
Demonstrates knowledge in control panels through ability to read electrical drawings and understand panel functionality.
Critical Competencies:
Demonstrates a proactive commitment to safety by taking the time to understand risks and completing all required safety training.
Complies with safety requirements by following all safety procedures and by reporting/documenting safety incidences and near misses.
Demonstrates personal accountability to learning and development of oneself as well as assisting with development of new employees and peers.
Willingly accepts coaching and mentoring from more experienced resources.
Promotes teamwork by participating as a team player while also demonstrating effective communication skills with the team, management and the customer.
Proactively works to build good relationships with peers, leaders and customers while also demonstrating the ability to meet customer expectations.
Seeks out new responsibilities and stretch opportunities while demonstrating creativity in identifying better means of accomplishing a job.
Displays ambition for learning new processes, platforms or other new offerings at MAVERICK.
Displays leadership abilities including honesty, integrity and professionalism across all aspects of the business.
Demonstrates a willing, can-do attitude by actively participating in teams.
Exhibits proficiency and personal accountability for project performance and meeting customer needs.
Demonstrates a business acumen that allows for effective utilization of tools and standards to ensure project deliverables are met.
Awards and Recognition:

Check out some of our Awards below, and then visit our website at www.mavtechglobal.com to learn more about MAVERICK Technologies. We look forward to your application and always welcome referrals!
International Society of Automation’s Premier Strategic Partner for Systems Integration
CEO and Founder Paul J. Galeski received ISA’s Excellence in Leadership Award and Honorary Membership (2012)
Proud to be in Control Engineering’s System Integrator Hall of Fame
Control Engineering’s 2011 System Integrator of the Year (2011, 2015)
Paul Galeski named an ISA Fellow.
2008 Frost & Sullivan North American System Integrator Company of the Year
Microsoft® Gold Certified Partner for Microsoft Business Solutions
Diamond Level Service Partner for Yokogawa Corporation of America
One of the Inc. 500/5000 Fastest Growing Companies — named six times.
Paul Galeski named Ernst & Young Emerging Entrepreneur of the Year (2002)
Wonderware ArchestrA® Certified System Integrator (SI).
EEO Statement

MAVERICK Technologies is an Equal Opportunity Employer-Disability/Veterans.
If you are an individual with a disability and you need assistance or an accommodation during the application process, email our Talent Acquisition representative at recruiting@mavtechglobal.com.

Download the EEO is the Law poster and the supplement for more information.",3.9,"MAVERICK Technologies
3.9","Portland, OR",-1,201 to 500 Employees,1999,Company - Private,Industrial Manufacturing,Manufacturing,$25 to $50 million (USD),-1
Project Engineer,-1,"Overview of the Position


Assist Project Management team in providing leadership and management of construction project. Continued growth in the areas below leads to career paths as Estimator, Project Manager, MEP Specialist, and Superintendent.

Reports to
Project Manager/Project Team
Management
Oversees and manages all aspects of the construction process including:
Institutional structures, such as schools, clinics, and laboratories
Work on remodels and new buildings.
Analyze drawings, blueprints, survey reports and maps using engineering and design software.
Prepare scheduling for project start dates and updates, traffic plans, permit acquisitions, submittal preparations, material purchasing and control, quality control monitoring and oversight of project control systems and documentation.
Required Education/Experience
Bachelor’s degree in Civil Engineering or Construction Management
2 years of experience working on construction projects
Administration


Assist Project Manager and team as required for the following functions.
Contracts
Working knowledge of Owner contract.
Working knowledge of subcontracts with trade contractors.
Prepare work scopes and organize cost structure.
Preconstruction
assist estimator and project manager with coordination of pricing, scheduling and planning, site investigation, and subcontractor coordination as required.
Scheduling
Prepare, monitor and update Master Schedule.
Prepare look-ahead rolling schedules weekly.
Document delays to project.
Change Orders
Identify and formalize changes in the project.
Distribute change documents to all affected parties, issue and expedite requests for quotations to subcontractors and vendors, and review quotes for fairness and accuracy.
Prepare estimate of Dome’s change order work.
Assemble and submit complete, accurate change requests in accordance with owner contract requirements. Expedite approval of change orders.
Assemble and notify all parties of approved change orders in accordance with owner contract requirements.
Write subcontractor change orders.
Submittals
Maintain submittal schedule
Receive, review, and expedite submittals from subcontractors and vendors.
Review and process submittals.
Maintain outstanding submittal log and expedite review of submittals.
RFI’s
Work with superintendent and project manager in issuing RFI’s.
Maintain outstanding RFI log and expedite RFI answers.
Drawings
Review and understand construction drawings and help spot any potential coordination problems or missing information.
Track and distribute addenda and bulletins accordingly (see 4. Change Orders).
Track changes and help project manager price out changes (see 4. Change Orders).
Weekly Construction Meetings
Prepare agenda, schedules, logs, or other documents for distribution. Take and distribute minutes at owner/architect meetings, subcontractor meetings, staff meetings, etc.
Follow through on action items
Claims Work
Assist project manager and superintendent in identifying and resolving all project claims, such as subcontractor claims for extras, insurance losses, personal injuries, etc.
Financial Reports
Keep all cost, commitment and projection information current in the company job costing system
Prepare monthly progress reports by incorporating all new subcontract amounts, material purchases costs to date, and change orders.
Prepare monthly fee and cost status reports.
Prepare owner billing by assembling Dome costs, receiving and reviewing subcontractor invoices and organizing the documents in accordance with the owner’s requirements.
Expedite monthly payment from owner.
Permit and Inspections
Expedite permits and other permit-related requirements such as Waste Recycling Program, SWPP, and BAAQMD.
Log all permit drawings and job cards, including revisions.
Assist superintendent with inspections if required.
Insurance
Assist Insurance Coordinator in obtaining and maintaining current Dome and subcontractor insurance prior to commencing work on a particular project.
Document Control
Prepare and monitor labor costs reports.
Prepare job diary including:
Daily site tour.
Evaluation of construction activities.
Prepare and monitor equipment and material coding logs.
Update record drawings.
Monitor testing and inspection record and reports.
Maintain submittal, drawing and RFI logs.
Monitor safety inspection and accident logs and reports.
Record building permit inspections and sign-offs.
Anticipate and record official notices: Beneficial Occupancy, Substantial Completion, Certificate of Occupancy, Notice of Completion, Warranties/Guarantees, etc.
Maintain request for information log and post RFI responses on record drawings.
Distribute new drawings, changes, approved submittals, RFI responses and other project information to all affected parties.
Take progress job photographs and maintain job photos and digitally processes for reporting purposes.
Procurement
Act as purchasing agent under superintendent’s and project manager’s direction.
Schedule and expedite material, equipment purchases and delivery.
Identify and expedite long lead subcontract items.
Schedule and expedite submittals of shop drawings, samples, and supplier data for timely approval.
Schedule subcontractor work and ensure subs are ready on schedule.
Technical
Detailing
Prepare general contractor shop drawings such as concrete forms and wall frame detailing under direction of superintendent for use by Dome crews or subs.
Participate in job layout. Verify elevations and dimensions.
Review all subcontractor and vendor shop drawings, product data, samples, manuals, etc., for compliance with contract documents and coordination with all other items of work.
Seek and study problems, conflicts, incomplete or ambiguous design information and any other questions/issues presented by subs, vendors, designers, Dome crews and staff or others. Resolve all issues promptly, when necessary interfacing with designers, engineers or the owner. Document solutions using RFIs. Distribute to all affected parties.
Excellent computer skills in Microsoft Office Suite (Word, Excel, Outlook, PowerPoint), scheduling software (Primavera and/or Microsoft Project) as well as operating a personal computer and using Microsoft Windows Operating System.
Maintain quality control (integrity and excellence of completed project).
Fundamental knowledge of contract law and project accounting.
Personal Skills
Leadership skills.
Excellent listening and communication skills.
Work effectively with others.
Professionalism in dealing with Owners, Architects, Subcontractors, Consultants, Crafts people and co-workers.
Maintain excellent verbal and written communication skills.
Motivation to continually learn and take on added responsibilities while maintaining a positive attitude. Develop expertise in each skill area exposed to.
Judgment: know how to respond to a problem in a manner consistent with the Company’s primary interest.
Planning: look ahead and organize activities to stay on top of the project’s needs. Organize the management of activities.
Initiative: seek out new opportunities to contribute. Push the envelope, raise the bar. Treat each task as an opportunity to excel.
Ownership: total commitment to the success of the project, his/her teammates and the company. View the success of the project as a reflection on him/herself.
Integrity: be willing to take responsibility for mistakes and understand that the reputation of the company as a whole is impacted by the decisions of each individual. Mistakes to be corrected rather than disguised.
Multi-task effectively: construction is fast-paced and the ideal candidate needs to be able to efficiently track and perform several tasks at once.
Apply",4.2,"Dome Construction
4.2","Thousand Oaks, CA",-1,201 to 500 Employees,1969,Company - Private,Construction,"Construction, Repair & Maintenance",$100 to $500 million (USD),-1
Engineer,-1,"Essential Job Functions and Requirements
RV Experience a plus.
Participate in a group of CAD Technicians in the development of a print package from initial project design intent into baseline documents. Review drawings and Bills of Materials to ensure adherence to establish specifications and standards.
Provide assembly drawings.
Provide panel cut sheets to mill for cost saving cuts.
Provide vendor installation drawings.
Problem solve assembly issues.
Input bill of material quantities into Sage.
Create 3D model to insure proper fit and finish of products.
Provide RVIA code information.
Calculate WIP costs for inventory.
Job Type: Full-time
Benefits:
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Experience:
manufacturing: 1 year (Preferred)
engineering: 1 year (Preferred)
Education:
High school or equivalent (Preferred)
Work authorization:
United States (Preferred)
Work Location:
One location
Work Remotely:
No",-1,Eclipse Recreational Vehicles,"Riverside, CA",-1,-1,-1,-1,-1,-1,-1,-1
Test Engineer,-1,"Secure our Nation, Ignite your Future

Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you'll help protect our national security while working on innovative projects that offer opportunities for advancement.

Currently, ManTech is seeking a motivated, career and customer-oriented Test Engineer to join our team in Clarksburg, WV.

The DOJ (Department of Justice) Division provides cyber solutions to a wide range of Defense and Intelligence Community customers. This division consists of a team of technical leaders that deliver advanced technical solutions to government organizations. Our customers have high standards, are technically adept, and use our products daily to support their mission of protecting national security. Our contributions to our customer's success is driving our growth.

As the Mid-Level Test Engineer, you will review and evaluate complex test specifications, test results, test trends and implements corrective action as needed.

A qualified candidate will be responsible for the following duties and responsibilities, but are not limited to:

Evaluates, recommends, and implements automated test tools and strategies.
Designs, implements, and conducts test and evaluation procedures to ensure system requirements are met.
Develops, maintains, and upgrades automated test scripts and architectures for application products. Also writes, implements, and reports status for system test cases for testing.
Serves as subject matter specialist providing testing know-how for the support of user requirements of complex to highly complex software/hardware applications.
Directs and/or participates in all phases of risk management assessments and software/hardware development with emphasis on analysis of user requirements, test design and test tools selection.

Required Qualifications:

BA/BS in Computer Science, Information Security, or related field; or equivalent preferred
4 - 7 years of directly related work experience preferred
Experience with COMPS a major plus

Security Clearance Requirement:

Must be a US citizen with a Top Secret clearance is required.

Physical Requirements:

Must be able to remain in a stationary position 50% of the time.

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.3,"ManTech International Corporation
4.3","Clarksburg, WV",-1,5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
Project Engineer,-1,"Essential Functions:
Responsible for execution of medium to large scale projects in the region including line upgrades, process upgrades, new marketing initiatives and building extensions.
Development of regional budgets, writing projects, managing suppliers and execute schedules.
Assisting the Plant Managers in developing capital budgets.
Communicate with all departments involved in order to guarantee efficient execution of projects.
Provide technical support throughout the company and solutions as needed.
Maintain pertinent engineering documents for all plants.
Ensure compliance to all OHSA and environmental regulatory and corporate standards as it relates to projects. Investigate and identify root causes of any non-compliance.
Required Skills and Competencies:
Project Management skills.
Computer literate, with proficiency with Auto Cad.
Comprehension of internal and external building designs, and the ability to read blueprints.
Knowledge of equipment assembly, construction, automated equipment, water processing equipment, and maintenance techniques.
Good verbal and written communication.
Must be willing and able to travel 75% of time within assigned Region.
Education
College – BS degree, Engineering (Mechanical or Electrical)
Experience
A minimum 5 years experience in internal and external project management, maintenance operations, and/or construction required.
Manufacturing experience is a must.

Experience
Required
5 year(s): Project Engineer Experience
Education
Required
Bachelors or better
Behaviors
Required
Innovative: Consistently introduces new ideas and demonstrates original thinking
Thought Provoking: Capable of making others think deeply on a subject
Team Player: Works well as a member of a group
Loyal: Shows firm and constant support to a cause
Leader: Inspires teammates to follow them
Functional Expert: Considered a thought leader on a subject
Enthusiastic: Shows intense and eager enjoyment and interest
Dedicated: Devoted to a task or purpose with loyalty or integrity
Detail Oriented: Capable of carrying out a given task with all details necessary to get the task done well",2.7,"Refresco North America
2.7","Wharton, NJ",-1,Unknown,-1,Unknown,Electrical & Electronic Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
Process Engineer,-1,"Miller Manufacturing Company, a market-leading manufacturer, distributor and marketer of farm, ranch, and pet products, is searching for a Process Engineer to join our team in Glencoe, Minnesota! Miller Manufacturing is locally owned, financially stable and growing – come join our team!
The Process Engineer is responsible for developing, implementing and supporting new and existing manufacturing processes and equipment that ensure process repeatability, product quality, labor efficiency and cost target attainment.
Essential Functions:
Optimization of existing processes and equipment to improve product quality, labor efficiency and cost target attainment.
Lead and coordinate projects for the design and build of equipment enhancements
Monitor manufacturing activities and measure important process characteristics using relevant methods of test and analysis to locate sources and quantify extent of process variation
Troubleshoot manufacturing, quality and assembly issues. Provide root cause and corrective action analysis and recommendations
Apply continuous improvement/lean concepts to identify and eliminate non-value added tasks and/or activities. Utilizing Design of Experiments (DOE), Statistical Process Control (SPC) and other techniques to engineer solutions
Work with Tool and Fixture Specialist to design/build necessary fixtures and tooling to improve Manufacturing efficiencies
Development of new processes and equipment to improve product quality, labor efficiency and cost target attainment.
Facilitating the successful launch of new products into Manufacturing by working with New Products Engineering to understand product requirements and ensure manufacturing processes will meet them
Lead and coordinate projects for design, install, debug & qualifying tooling, capital equipment and assembly/test equipment
Develop and implement process control techniques and procedures into manufacturing environment on all new equipment
Work with Tool and Fixture Specialist to design/build necessary fixtures and tooling as needed for development project
Provide project management for effective implementation of optimized processes and equipment.
Act as project leader on assigned projects. Assist in the development of robust processes to manage the selection, prioritization and execution of product and process related projects to meet established company goals.
Lead Design For Manufacturability (DFM) effort to ensure new products are designed to enable safe, cost efficient production.
Provide feedback during Design Reviews, Design and Process FMEA’s, etc. on Design for Manufacturability of new and re-engineered products. Influencing product designs to ensure economical manufacturability.
Maintain Key Performance Indicators (KPI’s) to ensure the correct opportunities are being worked on.
Actively provide input and support for the continuous improvement of Miller product development/engineering processes that will contribute to higher quality, efficiency gains, and potential cost savings. Lead and support the development of measurable indices and dashboards.
Maintain sound documentation to enable repeatable processes in the future.
Create, document, and improve procedures used to assemble, test, and/or, manufacture products. Define and create Work Instructions, Standards of Work, and Preventative Maintenance recommendations.
Communicate effectively to ensure everybody understands the intended message.
Communicate product support and improvement activities, issues, and project status to key stakeholders and executive team.
Utilize Six Sigma principles to ensure the efficient use of our resources.
Department SME on Six Sigma and Lean philosophies. Lead and participate in Kaizen events for the department and company.
Knowledge, Education and/or Experience:
Four year Mechanical or Manufacturing Engineering degree is preferred.
Experience with Microsoft Office Suite, Creo and AutoCAD is required.
ERP experience is a plus.
Experience in developing/optimizing equipment/processes is preferred.
Experience with plastic injection molded parts/process, metal forming, and electro-mechanical design is preferred.
Clear understanding in the application of statistics, DOE, and root cause analysis.
*Pre-employment drug screening and background check are required",2.8,"Miller Manufacturing Company
2.8","Glencoe, MN",-1,201 to 500 Employees,1941,Company - Private,Consumer Products Manufacturing,Manufacturing,$50 to $100 million (USD),-1
Project Engineer,-1,"Sanderson Stewart, an award-winning community planning and design firm, is seeking a talented and highly motivated Project Engineer for our Fort Collins, CO office.
Desired Skills and Qualifications:
Technical knowledge of site development and municipal infrastructure engineering
Ability to independently manage multiple tasks and deadlines
Driven to provide world class customer service
Experience in one or more of the following: site planning, site engineering and grading, water and sewer utility design, storm water management, traffic and pedestrian access, circulation and parking.
Experience preparing plans, technical reports and presentations, permits, specifications, and cost estimates.
Proficient with AutoCAD Civil3D and other relevant design and desktop productivity software.
Minimum BS in Civil Engineering or related field; minimum 4 years progressively responsible and relevant design experience; Colorado PE preferred.
Our People: Join one of The Best Firms to Work For and make a difference in the lives of your neighbors; leave a mark that will last well beyond your lifetime. Join our team and help to plan and design communities that will endure for generations to come. We are always on the lookout for Cool, Smart, Talented People a.k.a. CSTP, who are ridiculously committed to bettering our communities and their careers!
Visit us at: www.sandersonstewart.com
EOE
Job Type: Full-time
Pay: $67,000.00 - $78,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Relocation assistance
Retirement plan
Vision insurance
Schedule:
8 hour shift
Experience:
relevant: 4 years (Required)
Education:
Bachelor's (Required)
Location:
Colorado (Required)
License:
Professional Engineer (Preferred)
Work authorization:
United States (Required)
Application Question:
Are you proficient with AutoCAD Civil 3D Software?
Work Location:
One location
Company's website:
www.sandersonstewart.com
Benefit Conditions:
Waiting period may apply
Work Remotely:
No",-1,Sanderson Stewart,Colorado,-1,-1,-1,-1,-1,-1,-1,-1
Application Engineer,-1,"Application Engineer, part of the Americas Support Group and is responsible for supporting both our customers and Sales Engineers in the sale and use of our products.

Responsibilities
Post-Sale Support
Technical Support for internal and external customers
Providing general support on sound and vibration theory, system usage and applications
Resolving software issues through training, bug reporting and development of work arounds
Troubleshooting hardware issues on systems and instruments
Providing simple solutions to meet customer needs
Supporting the North America Service Center on troubleshooting instrument failures
Mentoring Application and Support Engineers to build competencies on Sound and Vibration
Theory and Product Knowledge
Additional Responsibilities could include the following Pre-Sale and On-Site Services

Pre-Sale Activities
Developing and delivering high quality technical presentations to customers on advanced solutions and activities
Executing customer demonstrations of working solutions and instruments
Presenting Seminars and Webinars on sound and vibration theory, advanced system applications in areas of engineer’s specialty, and Bruel & Kjaer solutions
Training internal sales and support staff on the theory, benefits and usage of solutions

On-Site Services
Installation of Bruel & Kjaer systems at customer facilities
Performing detailed System and/or instrument training on products, applications and solutions
Test Service work – performing contracted testing services work at customer facilities
Delivering on-site Seminars specific to customer requirements

What we need to see
Bachelor’s Degree in engineering, Physics or another technical field
Experience troubleshooting hardware and software issues
Basic commercial understanding
Strong written, communication and presentation skills
Highly motivated self-starter
Ability to work independently
Highly organized with the ability to multitask and prioritize in a busy environment

Ways to stand out from the crowd
Minimum 7 Years’ experience in noise and/or vibration testing
Solid knowledge of Sound and Vibration Principles and how they are applied to Measurements
Significant experience in Signal Analysis
Strong background in Electronics/Circuits and Instrumentation
Skilled in demonstrating and running software applications, working with databases, networking and general pc related skills

We offer
The job will provide you with an opportunity to further your career alongside some of the best and most passionate technology experts from around the world in a leading company within the test and measurement industry. You will be a strong contributor who collaborates closely with colleagues from various business functions all over the world.
Freedom with responsibility is the framework for HBK’s employees. This allows for a good balance between work and family life and for constant development of professional and personal skills in an international and enjoyable working environment.

One company – HBK
On 1 January 2019, Brüel & Kjær and HBM merged their activities into a new company called HBK (Hottinger, Brüel & Kjær). With more than 3,000 employees worldwide and production facilities in Denmark, Germany, the UK, the USA, China and Portugal and presence in 80 countries, HBK becomes a leading player in the test and measurement area. For further info please visit www.hbkworld.com.
HBK currently operates within the Test and Measurement segment of Spectris, the productivity-enhancing instrumentation and controls company.

Application deadline
Please submit your application and resume using the direct application link. Please note that we will be conducting interviews on an ongoing basis.

Sponsorship
Must be a Citizen or National of the United States, a lawful, permanent resident, or have authorization to work in the United States. Applicants must not now, or in the future, require sponsorship for an employment visa.",-1,"Hottinger, Bruel & Kjaer","Southfield, MI",-1,-1,-1,-1,-1,-1,-1,-1
Manufacturing Process Engineer,-1,"Company Overview
Started in 2015 this new division of a 4th generation family owned business focuses on making quality concrete cast fireplaces and furniture built to last a lifetime. Our products are distributed across North America through high-end specialty retailers. For this division our products are made primarily from cast concrete. We’re growing and looking for our next “A player”!
Position Summary
As a Process Engineer you will play an essential role in taking the customer’s project from drawing to finished product. It is a rewarding position in a fast-paced work environment where quality, delivery and customer service are the top priority.
Duties & Responsibilities
Engineering
Create SolidWorks models of fireplaces and firepits
Creating routings, BOM’s and control plans for production
Create internal drawings to support customer needs and quality requirements
Implement 5S or lean initiatives on shop floor
Estimating/Quoting
Price out jobs for customers using JCC quoting standards
Communicate with customers to ensure accurate quotes
Work with shop employees to determine accurate run times
Follow-up on quote vs actual time and report on findings
Programming
Create CNC programs using our 3-D router
Develop process sheets including tooling location info and positioning as needed
Customer Relations
Work directly with the customers and vendors to develop products, reduce cost and improve quality
Help support a customer’s order as it is being processed through the shop
Requirements
Must work within a 50 miles radius
Minimum 3 – 5 years in Manufacturing
Additional experience as a manufacturing engineer, manufacturing process engineer, manufacturing plant engineer, or as a quality engineer is a plus
Experience as an industrial engineer may also be considered
A strong Solid Works background is required
Shop floor experience is a must
Manufacturing, multi-part, print reading, GD&T experience is a plus
ERP experience preferred, specifically Global Shop Solutions.
Why work for us?
· Family oriented company culture
· Competitive pay and benefits. Starting pay based on prior experience and skill level
· Ample growth opportunities
Jensen Castings provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.
Job Type: Full-time
Pay: $35,000.00 - $65,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Retirement plan
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Education:
Bachelor's (Preferred)
Experience:
Manufacturing: 3 years (Preferred)
SolidWorks: 3 years (Preferred)
Work Location:
One location
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",-1,Jensen Castings,"Richland Center, WI",-1,-1,-1,-1,-1,-1,-1,-1
Product Engineer,-1,"The successful candidate for the position of Product Engineer shall be fully capable of performing all job functions and possess all the qualifications itemized.
Job Duties
Complete opportunity request in a timely manner.
Create, revise, and maintain part numbers, BOMs, and Routes in AX.
Create, revise, and maintain all product drawings.
Support Process Engineer with the integration of new products and equipment into production. This includes training and process development.
Conduct time studies, determine if rates and routing are accurate, and implement corrective actions.
Assist Product Manager with establishing product specifications, and standards for design and production.
Assists Product Manager and Purchasing by working with suppliers/vendors to ensure quality design and performance of products.
Work with Quality to establish visual and dimensional inspection criteria and mechanical testing (if required) to ensure product meets product specification, performance, and consistency.
Assist Quality Department and Process Engineering to ensure products are being made according to the engineering guidelines
Assist Quality Department during routine and non-routine inspections, audits, investigations, corrective action requests, and customer visits to assure positive outcomes.
Performs miscellaneous duties and projects as assigned and required.
Job Skills
Must have a strong commitment to site excellence.
Outstanding interpersonal, verbal and written communication skills.
Excellent knowledge of best engineering practices.
Excellent organizational skills.
Ability to work effectively in a matrix environment using influence management techniques.
Computer literate ; Excel, Word
MRP/ERP (recommended)
Solidworks or other CAD program (recommended)
Other software as the job dictates
Problem Solver, Self-motivated
Personal Attributes and Leadership Skills
Energetic
Works well with others
Works well under pressure
Self-starter
Trustworthy
Dependable
Detail oriented
Excellent communication skills
Excellent math skills
Innovative
Passion for excellence
Empowerment
Change agent
Physical Requirements
Receive instructions through oral and written communications accurately and quickly.
Convey answers or instructions to other workers accurately, loudly, and quickly.
Must be able to lift and move up to a max. of 20 pounds.
Employee will be subject to dust, noise, fumes and odors.
Employee will be exposed to inside, and could be exposed to outside, environmental conditions.
Occasional travel may be required.
The physical activity of this position includes, but is not limited to: Climbing, walking, stooping, kneeling, crouching, reaching, standing, pulling, lifting, grasping, twisting, sitting, feeling, and visual acuity.
Education/ Experience
College graduate. Minimum: Bachelor’s Degree in related science or engineering.
At least 2 yrs. experience in a process-oriented production environment. Extrusion experience a plus.
Proven work record to include the ability to perform all the following: Working knowledge of Quality Systems and Regulations, Best manufacturing and production practices, Completion of projects on time and within proposed budget, Excellent team leader skills, Problem solving in a time sensitive environment, Ability to interface with all levels within the organization, Ability to train all levels within the organization, Good communication and interpersonal skills, Proven analytical and trouble-shooting skills, Good written and oral skills.
Organization Details
Reports to Process Engineer
Interfaces with all departments at all levels on an as needed basis.
Job Type: Full-time
Benefits:
401(k)
Health insurance
Paid time off
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Project engineering: 2 years (Preferred)
process-oriented in a production environment: 2 years (Preferred)
Work Location:
One location
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job",-1,Watson-Marlow Flow Smart,"Seaford, DE",-1,-1,-1,-1,-1,-1,-1,-1
