,Job_Title,Company_Name,Location,similarity
66,"Professional Engineer - Transportation and Public Works - Oklahoma City, OK","Halff Associates
3.9","Oklahoma City, OK",0.881578947368421
55,"Services Engineer, IMS","C Spire
4.4","Ridgeland, MS",0.8701298701298701
78,Project Engineer,"FORMA Construction Company
5.0","Yelm, WA",0.8589743589743589
13,IT Support Engineer for Desktop and Infrastructure,Intermountain Medical Imaging,"Boise, ID",0.8571428571428571
28,Tooling Engineer,"Weener Plastics Inc.
4.3","Wilson, NC",0.8354430379746836
37,Plant Engineer,Aurora Energy LLC,"Fairbanks, AK",0.8311688311688312
57,Senior Project Engineer,"Aqtera Engineering, LLC
5.0","Tri Cities, WA",0.825
46,Failure Analysis Engineer,"Skyworks
3.4","Newbury Park, CA",0.825
80,Industrial Refrigeration Mechanical Engineer,Mullally Bros. Inc.,"Troy, NY",0.825
79,Professional Engineer,D&R Tank Co,"Albuquerque, NM",0.825
58,Clinical Maintenance Engineer,DeltaStrac LLC,"Frederick, MD",0.8227848101265823
3,Test Engineer,"ManTech International Corporation
4.3","Clarksburg, WV",0.8205128205128205
56,Code & Certification Engineer,"Kolbe & Kolbe Millwork Co., Inc.
3.6","Wausau, WI",0.8181818181818182
74,Engineering Test Technician,"Rice Lake Weighing Systems
3.6","Rice Lake, WI",0.8125
50,Licensed Professional Engineer,"Awnex,Inc","Ball Ground, GA",0.8125
70,Director of Engineering,"Chapin International, Inc
3.3","Batavia, NY",0.810126582278481
76,Test and Evaluation Engineer,"LinQuest Corporation
3.9","Colorado Springs, CO",0.810126582278481
94,Web Marketing Engineer,"SignalQuest, LLC
5.0","Lebanon, NH",0.810126582278481
82,CIMPLICITY/SCADA Development Engineer,"Technotects, Inc.","Harleysville, PA",0.8076923076923077
88,Civil Engineering Team Leader Position,"Klingner & Associates, P.C.","Burlington, IA",0.8076923076923077
19,Engineering Technician,"Rochester Electronics LLC
3.1","Newburyport, MA",0.8051948051948052
